match_id,season,comp,best_type,best_p,best_won,p_1X,w_1X,p_X2,w_X2,p_12,w_12
be265a12cf73c337,2020_21,E0,X2,0.8195664680476609,1,0.4207230811838511,0,0.8195664680476609,1,0.7597104507684881,1
fbb4111716c2fe42,2020_21,E0,12,0.7074753005402753,1,0.6085263238829856,1,0.6839983755767393,0,0.7074753005402753,1
6814b5b6eb9e97d3,2020_21,E0,1X,0.9139864506028124,1,0.9139864506028124,1,0.240495669885679,0,0.8455178795115088,1
d333d0751762c926,2020_21,E0,1X,0.7481967585717018,0,0.7481967585717018,0,0.5158882660665371,1,0.7359149753617611,1
8e2326c486becc39,2020_21,E0,12,0.7175451279311797,1,0.5720180919912761,0,0.7104367800775444,1,0.7175451279311797,1
308287b4604bee9c,2020_21,E0,1X,0.7516052376775233,0,0.7516052376775233,0,0.5276423821603325,1,0.7207523801621438,1
070b62393919c30f,2020_21,E0,X2,0.8365296361481231,1,0.38253187388332144,0,0.8365296361481231,1,0.7809384899685556,1
3fae43118d97ce4b,2020_21,E0,X2,0.7021331203105738,1,0.6292884493491115,0,0.7021331203105738,1,0.6685784303403146,1
1a589d9ba53d4888,2020_21,E0,1X,0.8435521063496547,1,0.8435521063496547,1,0.3939662797201748,0,0.7624816139301706,1
de83c6948ccf9a39,2020_21,E0,1X,0.8126410316220319,1,0.8126410316220319,1,0.4332546563090268,0,0.7541043120689412,1
9dd68e8c5e38d1e4,2020_21,E0,1X,0.8885986708711031,0,0.8885986708711031,0,0.3003802508182586,1,0.8110210783106383,1
0a28410453137fbf,2020_21,E0,1X,0.8560726115954242,1,0.8560726115954242,1,0.3568356854082132,0,0.7870917029963626,1
86c63c8a2dfd934b,2020_21,E0,12,0.7161202089665035,1,0.5708583701165091,0,0.7130214209169874,1,0.7161202089665035,1
2d50168ebf79cb72,2020_21,E0,12,0.7013248583943338,1,0.66875681276924,0,0.6299183288364263,1,0.7013248583943338,1
2697ccc8bccc3df1,2020_21,E0,12,0.7489360515587844,1,0.5360833219897596,0,0.7149806264514557,1,0.7489360515587844,1
a4ad676aaea374cf,2020_21,E0,1X,0.855925125334412,1,0.855925125334412,1,0.3712650971029061,0,0.772809777562682,1
68ec8fd8aebc7906,2020_21,E0,12,0.6985135648116036,1,0.6969978588362243,1,0.6044885763521719,0,0.6985135648116036,1
e79de55a40d8dc69,2020_21,E0,X2,0.8612579329370248,1,0.35052371509323,0,0.8612579329370248,1,0.7882183519697454,1
8b20e5816416fe2c,2020_21,E0,X2,0.8239748757745694,1,0.4087584246224557,0,0.8239748757745694,1,0.7672666996029749,1
43602808d8e549d3,2020_21,E0,X2,0.7279081832609302,1,0.5617017605702461,0,0.7279081832609302,1,0.7103900561688237,1
6cdceec7961f6170,2020_21,E0,X2,0.8593839548255454,1,0.3407072065690824,1,0.8593839548255454,1,0.7999088386053725,0
5a769696f391613e,2020_21,E0,12,0.7153548349398677,1,0.5764296542512455,0,0.708215510808887,1,0.7153548349398677,1
b192e77476404138,2020_21,E0,12,0.7182151741489631,1,0.6185506497168716,0,0.6632341761341654,1,0.7182151741489631,1
32e5fa91f4fb121a,2020_21,E0,1X,0.8752180303270402,1,0.8752180303270402,1,0.3257095298814184,1,0.7990724397915415,0
a23be7579a0abd9e,2020_21,E0,1X,0.8980643578064131,0,0.8980643578064131,0,0.2644908735793234,1,0.8374447686142636,1
311ee3996397c657,2020_21,E0,X2,0.7123447971351253,0,0.5775873612057414,1,0.7123447971351253,0,0.710067841659133,1
eaeed5b9d7b5508f,2020_21,E0,12,0.7197118815269647,1,0.5993255582457999,0,0.6809625602272354,1,0.7197118815269647,1
4ffc250cc6d09c50,2020_21,E0,1X,0.8375263572240226,1,0.8375263572240226,1,0.34501839608651363,0,0.8174552466894638,1
71afa65559079a7e,2020_21,E0,1X,0.8536026094544698,1,0.8536026094544698,1,0.3684297440904295,0,0.7779676464551007,1
89932473e6390348,2020_21,E0,1X,0.7945018868048251,1,0.7945018868048251,1,0.4603160377040414,0,0.7451820754911337,1
3c5405bbe5d77462,2020_21,E0,X2,0.8842269659952335,1,0.24999935637449977,1,0.8842269659952335,1,0.8657736776302669,0
f0cdc281b88feea9,2020_21,E0,12,0.7067488304390341,1,0.6924291142504795,1,0.6008220553104864,0,0.7067488304390341,1
5ff189b6cdf7446a,2020_21,E0,1X,0.774615493444553,0,0.774615493444553,0,0.4732326906361437,1,0.7521518159193035,1
b6e779017b5b90de,2020_21,E0,1X,0.7687982463213339,1,0.7687982463213339,1,0.4849184305143234,0,0.746283323164343,1
5ad7bdcdddf5a65d,2020_21,E0,1X,0.8653201273573117,1,0.8653201273573117,1,0.35664646593224036,0,0.778033406710448,1
74209186500a06da,2020_21,E0,1X,0.8120870588314609,1,0.8120870588314609,1,0.4666883123609161,0,0.721224628807623,1
ef3afe235200c201,2020_21,E0,12,0.7378254253225172,1,0.7376082949080895,0,0.5245662797693935,1,0.7378254253225172,1
53e5dba5cc5ef9ce,2020_21,E0,X2,0.8546718779536747,0,0.34143963626829565,1,0.8546718779536747,0,0.8038884857780296,1
b3d706e2d2b30181,2020_21,E0,12,0.7703671978528405,0,0.4596311517465734,1,0.7700016504005863,1,0.7703671978528405,0
42722045c14dbaf4,2020_21,E0,1X,0.8218147924089884,1,0.8218147924089884,1,0.3907331874733383,1,0.7874520201176733,0
d83edc7590cbf791,2020_21,E0,1X,0.8284600179622913,1,0.8284600179622913,1,0.3723979439693732,0,0.7991420380683355,1
