period,view,band,n,share_of_events,mean_predicted,expected_wins,actual_wins,actual_rate,difference_pp,wilson95_low,wilson95_high
development,all_events,50-54.9%,546,0.052343974690825426,0.5249237601516736,286.6083730428138,282,0.5164835164835165,-0.8440243668157099,0.4745983162113345,0.5581383930913919
development,all_events,55-59.9%,749,0.07180519605023487,0.5760025495696479,431.42590962766633,410,0.5473965287049399,-2.860602086470798,0.5115984012515403,0.5827109638453548
development,all_events,60-64.9%,765,0.07333908541846419,0.624343884074932,477.62307131732297,470,0.6143790849673203,-0.9964799107611721,0.5793973269491969,0.6482178699061184
development,all_events,65-69.9%,1413,0.13546160483175151,0.6819179624820535,963.5500809871415,992,0.7020523708421798,2.0134408360126255,0.6776837101481249,0.7253253890317305
development,all_events,70-74.9%,2828,0.27111494583453166,0.7219233994928661,2041.5993737658255,2051,0.7252475247524752,0.3324125259609123,0.7084981575802666,0.7413857849094202
development,all_events,75-79.9%,1206,0.11561691113028473,0.7721642130493827,931.2300409375555,936,0.7761194029850746,0.3955189935691994,0.7517377607561377,0.7987475901502452
development,all_events,80-84.9%,775,0.07429776627360751,0.8233928620648376,638.1294681002491,632,0.8154838709677419,-0.7908991097095752,0.7866408235910799,0.8412148130880895
development,all_events,85-89.9%,426,0.04083980442910555,0.8729755479738497,371.88758343686,373,0.8755868544600939,0.26113064862441915,0.8408486496887911,0.9036118797304665
development,all_events,90-94.9%,256,0.024542229891669064,0.9216541656504066,235.9434664065041,242,0.9453125,2.3658334349593413,0.9103104192747177,0.9671477085959906
development,all_events,95%+,43,0.004122327677116288,0.9581022023248521,41.19839469996864,42,0.9767441860465116,1.8641983721659483,0.8794100655939282,0.9958829127256662
development,best_selection,50-54.9%,0,0.0,,0.0,0,,,,
development,best_selection,55-59.9%,0,0.0,,0.0,0,,,,
development,best_selection,60-64.9%,0,0.0,,0.0,0,,,,
development,best_selection,65-69.9%,327,0.09404659188955997,0.6921241334240431,226.3245916296621,246,0.7522935779816514,6.0169444557608305,0.7027562066668885,0.7959720983894162
development,best_selection,70-74.9%,1394,0.4009203336209376,0.7219040743728896,1006.3342796758081,999,0.7166427546628408,-0.526131971004884,0.6924167482320008,0.7396780334677578
development,best_selection,75-79.9%,661,0.19010641357492092,0.7738150186637771,511.49172733675664,509,0.7700453857791225,-0.37696328846545946,0.7364604134257661,0.8005097096968984
development,best_selection,80-84.9%,528,0.15185504745470232,0.8235127123317045,434.81471211114,428,0.8106060606060606,-1.290665172564398,0.7749870276326227,0.8417381158477437
development,best_selection,85-89.9%,298,0.08570606844981306,0.8728380579100229,260.1057412571868,261,0.8758389261744967,0.3000868264473766,0.8335477204980661,0.9085637206378745
development,best_selection,90-94.9%,226,0.06499856197871728,0.922893261314866,208.57387705715973,214,0.9469026548672567,2.4009393552390623,0.9094981923617396,0.9693684883339566
development,best_selection,95%+,43,0.012366983031348864,0.9581022023248521,41.19839469996864,42,0.9767441860465116,1.8641983721659483,0.8794100655939282,0.9958829127256662
validation,all_events,50-54.9%,295,0.05219391365888181,0.5242333946684379,154.6488514271892,155,0.5254237288135594,0.11903341451214855,0.46848045386373366,0.5817133849001176
validation,all_events,55-59.9%,347,0.06139419674451522,0.5760873800718056,199.90232088491655,211,0.6080691642651297,3.198178419332409,0.5557894826312507,0.65798228839063
validation,all_events,60-64.9%,414,0.0732484076433121,0.6260998221800913,259.2053263825578,270,0.6521739130434783,2.6074090863386967,0.6050861887614302,0.6964635912810276
