split,comp,season,matches,n_ge80,share_ge80,mean_pred,actual
league_season,E0,2020_21,380,153,0.4026315789473684,0.8626163525510597,0.8431372549019608
league_season,E0,2021_22,380,169,0.44473684210526315,0.8718417525050506,0.8757396449704142
league_season,E0,2022_23,380,159,0.41842105263157897,0.8611899955392844,0.8867924528301887
league_season,E0,2023_24,368,160,0.43478260869565216,0.8682693546138666,0.89375
league_season,E0,2024_25,239,102,0.42677824267782427,0.8601355325098712,0.8627450980392157
league_season,E0,2025_26,210,69,0.32857142857142857,0.8550548626745145,0.927536231884058
league_season,E1,2020_21,550,99,0.18,0.8348731524460273,0.8080808080808081
league_season,E1,2021_22,552,130,0.23550724637681159,0.8415345412012188,0.7923076923076923
league_season,E1,2022_23,552,110,0.19927536231884058,0.8359538198806785,0.8272727272727273
league_season,E1,2023_24,538,142,0.26394052044609667,0.850549589670374,0.8450704225352113
league_season,E1,2024_25,368,76,0.20652173913043478,0.8426967383121368,0.8947368421052632
league_season,E1,2025_26,271,42,0.15498154981549817,0.8374715085331869,0.8095238095238095
league_season,SC0,2020_21,227,99,0.43612334801762115,0.8832706821892017,0.9191919191919192
league_season,SC0,2021_22,228,93,0.40789473684210525,0.8869134214184153,0.9247311827956989
league_season,SC0,2022_23,228,83,0.36403508771929827,0.897691076592891,0.9156626506024096
league_season,SC0,2023_24,221,91,0.4117647058823529,0.8877336736101973,0.8901098901098901
league_season,SC0,2024_25,150,60,0.4,0.8919166952381065,0.9166666666666666
league_season,SC0,2025_26,55,18,0.32727272727272727,0.8728041158815655,0.9444444444444444
season,ALL,2020_21,1157,351,0.30337078651685395,0.8606169275475777,0.8547008547008547
season,ALL,2021_22,1160,392,0.33793103448275863,0.8653665681668994,0.8596938775510204
season,ALL,2022_23,1160,352,0.30344827586206896,0.8619104796444058,0.875
season,ALL,2023_24,1127,393,0.3487133984028394,0.8663737983967932,0.8753180661577609
season,ALL,2024_25,757,238,0.3143989431968296,0.8625788997563683,0.8865546218487395
season,ALL,2025_26,536,129,0.24067164179104478,0.8518066896806474,0.8914728682170543
type_all,12,all,1957,1957,0.3318636594878752,0.7171881432894138,0.7363311190597854
type_ge80,12,all,1957,0,0.0,nan,nan
type_ge90,12,all,1957,0,0.0,nan,nan
type_all,1X,all,2824,2824,0.47888756995082243,0.805602291085631,0.8123229461756374
type_ge80,1X,all,2824,1353,0.22943869764286925,0.8630601473189419,0.8713968957871396
type_ge90,1X,all,2824,345,0.05850432423266067,0.9304341043111359,0.9536231884057971
type_all,X2,all,1116,1116,0.18924877056130235,0.7995955730144462,0.7885304659498208
type_ge80,X2,all,1116,502,0.08512803120230626,0.8618208957842352,0.8685258964143426
type_ge90,X2,all,1116,114,0.019331863659487875,0.9202034053434374,0.9385964912280702
