period,estimator,threshold,n,share_of_events,mean_predicted,expected_wins,actual_wins,actual_rate,difference_pp,wilson95_low,wilson95_high
SEALED_HOLDOUT_2024_26,market,0.55,2301,0.8752377329783187,0.7127151855535102,1639.957641958627,1651,0.7175141242937854,0.47989387402751493,0.6987682044966381,0.7355349863667267
SEALED_HOLDOUT_2024_26,market,0.6,1926,0.7325979459870673,0.7396247977118194,1424.5173603929643,1425,0.7398753894080997,0.02505916962802779,0.7198190854598367,0.7589767222354995
SEALED_HOLDOUT_2024_26,market,0.65,1543,0.5869151768733358,0.7684137126453364,1185.6623586117541,1190,0.7712248865845756,0.2811173939239131,0.7496080351074806,0.791494606812995
SEALED_HOLDOUT_2024_26,market,0.7,1156,0.4397109166983644,0.7995967520897871,924.3338454157939,937,0.8105536332179931,1.095688112820603,0.7869497363129526,0.8321003886326149
SEALED_HOLDOUT_2024_26,market,0.75,848,0.32255610498288323,0.8269214740709268,701.2294100121459,704,0.8301886792452831,0.32672051743563024,0.8034418102297746,0.8539575147282698
SEALED_HOLDOUT_2024_26,market,0.8,550,0.20920502092050208,0.8553245783333878,470.4285180833633,481,0.8745454545454545,1.9220876212066695,0.8442394788509928,0.8996557161336514
SEALED_HOLDOUT_2024_26,market,0.85,291,0.1106884747052111,0.8824978778158195,256.80688244440347,268,0.9209621993127147,3.846432149689527,0.8841970888210327,0.9467579640400885
SEALED_HOLDOUT_2024_26,market,0.9,68,0.025865348041080257,0.9160026153255709,62.28817784213882,67,0.9852941176470589,6.929150232148795,0.9212902687183916,0.9973993164238933
SEALED_HOLDOUT_2024_26,market,0.95,2,0.0007607455306200076,0.9552701505757306,1.9105403011514612,2,1.0,4.472984942426939,0.34238022750665303,1.0
SEALED_HOLDOUT_2024_26,elo,0.55,2198,0.8360593381513883,0.6902539397663726,1517.178159606487,1536,0.6988171064604186,0.8563166694045998,0.6793046077571621,0.7176358697230443
SEALED_HOLDOUT_2024_26,elo,0.6,1764,0.6709775580068467,0.7185392913953378,1267.503310021376,1281,0.7261904761904762,0.7651184795138377,0.7049069197023567,0.7464910243940195
SEALED_HOLDOUT_2024_26,elo,0.65,1319,0.501711677443895,0.7502095026492578,989.526333994371,995,0.7543593631539045,0.41498605046467185,0.7304118739843621,0.7768295611292553
SEALED_HOLDOUT_2024_26,elo,0.7,934,0.35526816279954354,0.781318363084256,729.7513511206951,735,0.7869379014989293,0.5619538414673331,0.7595298827224468,0.8119952881459884
SEALED_HOLDOUT_2024_26,elo,0.75,598,0.22746291365538227,0.8139133549486394,486.7201862592863,501,0.8377926421404682,2.3879287191828857,0.8061060356373051,0.8651670946512535
SEALED_HOLDOUT_2024_26,elo,0.8,320,0.12171928489920121,0.8482131576719519,271.4282104550246,274,0.85625,0.8036842328048022,0.8135803402145845,0.8904678716181074
SEALED_HOLDOUT_2024_26,elo,0.85,130,0.049448459490300495,0.8831840450162868,114.81392585211728,117,0.9,1.6815954983713244,0.83641423905855,0.940624511985905
SEALED_HOLDOUT_2024_26,elo,0.9,29,0.01103081019399011,0.9167192066782858,26.584856993670286,26,0.896551724137931,-2.016748254035472,0.736149189092262,0.9641851086493229
SEALED_HOLDOUT_2024_26,elo,0.95,0,0.0,,0.0,0,,,,
SEALED_HOLDOUT_2024_26,data_logit,0.55,2186,0.8314948649676683,0.6969177380512431,1523.4621753800175,1535,0.702195791399817,0.5278053348573897,0.6826848351953683,0.7209973566999597
SEALED_HOLDOUT_2024_26,data_logit,0.6,1762,0.6702168124762267,0.7263267992417193,1279.7878202639095,1292,0.7332576617480137,0.6930862506294377,0.7121164899774532,0.7533839635847639
SEALED_HOLDOUT_2024_26,data_logit,0.65,1364,0.5188284518828452,0.7556671004767943,1030.7299250503474,1039,0.7617302052785924,0.6063104801798058,0.7384062461501584,0.7835840732656503
SEALED_HOLDOUT_2024_26,data_logit,0.7,993,0.3777101559528338,0.7862217182874631,780.7181662594509,796,0.8016112789526687,1.5389560665205582,0.775665996879984,0.8252319640742508
SEALED_HOLDOUT_2024_26,data_logit,0.75,647,0.24610117915557247,0.8188769091590069,529.8133602258774,538,0.8315301391035549,1.2653229944547983,0.8007520305486293,0.8583946697512188
SEALED_HOLDOUT_2024_26,data_logit,0.8,369,0.1403575503993914,0.8523803488717085,314.52834873366044,311,0.8428184281842819,-0.9561920687426673,0.802172999237855,0.8763996058588117
SEALED_HOLDOUT_2024_26,data_logit,0.85,164,0.062381133510840625,0.887665963842191,145.57721807011933,147,0.8963414634146342,0.8675499572443179,0.8402719638865523,0.9342684918114623
SEALED_HOLDOUT_2024_26,data_logit,0.9,57,0.021681247622670218,0.9183693216768801,52.347051335582165,53,0.9298245614035088,1.1455239726628652,0.832998299039663,0.972373579770934
SEALED_HOLDOUT_2024_26,data_logit,0.95,1,0.0003803727653100038,0.9627417560447006,0.9627417560447006,1,1.0,3.725824395529942,0.20654931437723745,1.0
SEALED_HOLDOUT_2024_26,stack_market_elo,0.55,2288,0.8702928870292888,0.7100596508170858,1624.6164810694922,1640,0.7167832167832168,0.6723565966130995,0.697969980572339,0.7348697327429313
SEALED_HOLDOUT_2024_26,stack_market_elo,0.6,1904,0.7242297451502473,0.7372577694094095,1403.7387929555157,1411,0.7410714285714286,0.3813659162019145,0.7209239534654047,0.7602481039693095
SEALED_HOLDOUT_2024_26,stack_market_elo,0.65,1519,0.5777862305058957,0.7659189760656935,1163.4309246437883,1175,0.7735352205398288,0.7616244474135336,0.7518125148240211,0.7938779082903693
SEALED_HOLDOUT_2024_26,stack_market_elo,0.7,1128,0.42906047926968427,0.7973026519373764,899.3573913853605,920,0.8156028368794326,1.8300184942056208,0.791913416687891,0.8371499511992142
SEALED_HOLDOUT_2024_26,stack_market_elo,0.75,820,0.3119056675542031,0.8246451898666087,676.2090556906192,681,0.8304878048780487,0.5842615011440011,0.8032796433651717,0.8546139285070884
SEALED_HOLDOUT_2024_26,stack_market_elo,0.8,521,0.19817421072651198,0.8534085581390731,444.6258587904571,456,0.8752399232245681,2.183136508549499,0.8440897179443736,0.9008971603380078
SEALED_HOLDOUT_2024_26,stack_market_elo,0.85,265,0.100798782807151,0.8808017964130381,233.4124760494551,246,0.9283018867924528,4.750009037941472,0.8907416468181908,0.9536221689257174
