period,estimator,threshold,n,share_of_events,mean_predicted,expected_wins,actual_wins,actual_rate,difference_pp,wilson95_low,wilson95_high
development_2021_2023_exposed,market_multiplicative,0.55,6257,0.8768217488789237,0.7108036906990955,4447.498692704241,4387,0.7011347291034042,-0.9668961595691306,0.6896717663325037,0.7123508717673449
development_2021_2023_exposed,market_multiplicative,0.6,5097,0.7142656950672646,0.7418026655432938,3780.968186274168,3760,0.7376888365705316,-0.41138289727621347,0.725436701442882,0.7495829633635973
development_2021_2023_exposed,market_multiplicative,0.65,3933,0.5511491031390134,0.7764368365679123,3053.726078221599,3075,0.7818459191456903,0.5409082577778057,0.76866717841686,0.7944746252828289
development_2021_2023_exposed,market_multiplicative,0.7,2988,0.4187219730941704,0.8086805565998014,2416.3375031202067,2435,0.8149263721552878,0.6245815555486423,0.8006002733949016,0.8284437538049338
development_2021_2023_exposed,market_multiplicative,0.75,2154,0.30184977578475336,0.8414628163263751,1812.510906367012,1826,0.8477251624883937,0.6262346162018595,0.831934169693571,0.8622780922298275
development_2021_2023_exposed,market_multiplicative,0.8,1478,0.2071188340807175,0.8723408923413888,1289.3198388805727,1300,0.8795669824086604,0.7226090067271596,0.8619826032209345,0.8951834170177829
development_2021_2023_exposed,market_multiplicative,0.85,848,0.11883408071748879,0.9083676159982639,770.2957383665278,778,0.9174528301886793,0.9085214190415414,0.8969942377044247,0.9341463374211028
development_2021_2023_exposed,market_multiplicative,0.9,458,0.06418161434977579,0.9382906193726931,429.7371036726934,441,0.962882096069869,2.4591476697175874,0.9413656473808117,0.9766983157001085
development_2021_2023_exposed,market_multiplicative,0.95,159,0.022281390134529146,0.9665674069509607,153.68421770520274,155,0.9748427672955975,0.8275360344636828,0.9371079543519492,0.9901743304761865
development_2021_2023_exposed,market_additive,0.55,6257,0.8768217488789237,0.7110767734283397,4449.207371341122,4387,0.7011347291034042,-0.9942044324935506,0.6896717663325037,0.7123508717673449
development_2021_2023_exposed,market_additive,0.6,5095,0.7139854260089686,0.7421591313898539,3781.300774431306,3758,0.7375858684985279,-0.457326289132598,0.7253298472319454,0.7494838961551553
development_2021_2023_exposed,market_additive,0.65,3934,0.5512892376681614,0.7767078128611087,3055.5685357956017,3079,0.78266395526182,0.5956142400711295,0.7695035783107882,0.7952728412726564
development_2021_2023_exposed,market_additive,0.7,3001,0.4205437219730942,0.8085089627465374,2426.3353972023588,2444,0.8143952015994669,0.5886238852929493,0.8000863510629151,0.827900191941117
development_2021_2023_exposed,market_additive,0.75,2159,0.3025504484304933,0.8415213404481031,1816.8445740274547,1829,0.8471514590088004,0.5630118560697284,0.8313571906515119,0.8617125643629594
development_2021_2023_exposed,market_additive,0.8,1483,0.2078195067264574,0.8723363703809134,1293.6748372748946,1305,0.8799730276466622,0.7636657265748803,0.8624429376002959,0.8955396928369085
development_2021_2023_exposed,market_additive,0.85,859,0.12037556053811659,0.907695362014563,779.7103159705097,787,0.9161816065192084,0.8486244504645413,0.8957458568155986,0.9329115896836003
development_2021_2023_exposed,market_additive,0.9,458,0.06418161434977579,0.9383304065462272,429.7553261981721,441,0.962882096069869,2.455168952364173,0.9413656473808117,0.9766983157001085
development_2021_2023_exposed,market_additive,0.95,155,0.02172085201793722,0.9667214822898087,149.84182975492035,151,0.9741935483870968,0.7472066097288121,0.9355314540311528,0.9899196283965077
development_2021_2023_exposed,market_power,0.55,6256,0.8766816143497758,0.7112526529344975,4449.596596758216,4387,0.7012468030690537,-1.0005849865443728,0.6897840654701863,0.7124625435796172
development_2021_2023_exposed,market_power,0.6,5096,0.7141255605381166,0.7422996372617524,3782.75895148589,3758,0.7374411302982732,-0.48585069634792255,0.7251842949967017,0.7493402602351799
development_2021_2023_exposed,market_power,0.65,3940,0.5521300448430493,0.7766927880876877,3060.1695850654896,3085,0.7829949238578681,0.630213577018035,0.7698515302312239,0.795587020806988
development_2021_2023_exposed,market_power,0.7,3002,0.42068385650224216,0.8086597222382395,2427.5964861591947,2444,0.8141239173884077,0.5464195150168272,0.7998100391037419,0.8276348963120965
development_2021_2023_exposed,market_power,0.75,2159,0.3025504484304933,0.8417059063911502,1817.2430518984931,1829,0.8471514590088004,0.5445552617650229,0.8313571906515119,0.8617125643629594
development_2021_2023_exposed,market_power,0.8,1486,0.20823991031390135,0.8723815823400356,1296.359031357293,1307,0.879542395693136,0.716081335310037,0.8620066997016632,0.8951208411662658
development_2021_2023_exposed,market_power,0.85,848,0.11883408071748879,0.908628741502061,770.5171727937477,777,0.9162735849056604,0.7644843403599388,0.895701887160503,0.9330908332330313
development_2021_2023_exposed,market_power,0.9,463,0.0648822869955157,0.9381411075893088,434.35933281384996,445,0.9611231101511879,2.29820025618791,0.9393881466429841,0.9752692642019329
development_2021_2023_exposed,market_power,0.95,165,0.02312219730941704,0.9659175797984376,159.3764006667422,161,0.9757575757575757,0.9839995959138093,0.9393332721343275,0.990533130919738
development_2021_2023_exposed,market_odds_ratio,0.55,6257,0.8768217488789237,0.7111006472936383,4449.356750116295,4387,0.7011347291034042,-0.9965918190234069,0.6896717663325037,0.7123508717673449
development_2021_2023_exposed,market_odds_ratio,0.6,5095,0.7139854260089686,0.742187899194457,3781.447346395759,3758,0.7375858684985279,-0.4602030695929127,0.7253298472319454,0.7494838961551553
development_2021_2023_exposed,market_odds_ratio,0.65,3934,0.5512892376681614,0.776743662351162,3055.7095676894714,3079,0.78266395526182,0.5920292910657987,0.7695035783107882,0.7952728412726564
development_2021_2023_exposed,market_odds_ratio,0.7,3001,0.4205437219730942,0.8085533367628329,2426.4685636252616,2444,0.8143952015994669,0.5841864836633959,0.8000863510629151,0.827900191941117
development_2021_2023_exposed,market_odds_ratio,0.75,2159,0.3025504484304933,0.8415784241861637,1816.9678178179274,1829,0.8471514590088004,0.5573034822636713,0.8313571906515119,0.8617125643629594
development_2021_2023_exposed,market_odds_ratio,0.8,1483,0.2078195067264574,0.8724126495755541,1293.7879593205466,1305,0.8799730276466622,0.7560378071108098,0.8624429376002959,0.8955396928369085
development_2021_2023_exposed,market_odds_ratio,0.85,859,0.12037556053811659,0.9078127547329571,779.8111563156101,787,0.9161816065192084,0.8368851786251352,0.8957458568155986,0.9329115896836003
development_2021_2023_exposed,market_odds_ratio,0.9,459,0.06432174887892377,0.938413542539254,430.7318160255176,442,0.9629629629629629,2.454942042370889,0.9414916316236095,0.9767493597579469
development_2021_2023_exposed,market_odds_ratio,0.95,156,0.021860986547085202,0.9668232528912123,150.82442745102912,152,0.9743589743589743,0.7535721467762047,0.9359329413759742,0.9899845339269909
development_2021_2023_exposed,market_shin,0.55,6257,0.8768217488789237,0.7114009560332591,4451.235781900103,4387,0.7011347291034042,-1.0266226929854905,0.6896717663325037,0.7123508717673449
development_2021_2023_exposed,market_shin,0.6,5097,0.7142656950672646,0.7424844951630094,3784.4434718458588,3760,0.7376888365705316,-0.47956585924777695,0.725436701442882,0.7495829633635973
development_2021_2023_exposed,market_shin,0.65,3954,0.5540919282511211,0.7765300701199224,3070.399897254173,3093,0.7822458270106222,0.5715756890699808,0.7691109526654422,0.794832808908338
development_2021_2023_exposed,market_shin,0.7,3001,0.4205437219730942,0.8090493641016784,2427.957141669137,2444,0.8143952015994669,0.5345837497788497,0.8000863510629151,0.827900191941117
development_2021_2023_exposed,market_shin,0.75,2159,0.3025504484304933,0.8421587134560802,1818.220662351677,1829,0.8471514590088004,0.49927455527202236,0.8313571906515119,0.8617125643629594
development_2021_2023_exposed,market_shin,0.8,1483,0.2078195067264574,0.8730404544818053,1294.7189939965174,1305,0.8799730276466622,0.6932573164856848,0.8624429376002959,0.8955396928369085
development_2021_2023_exposed,market_shin,0.85,859,0.12037556053811659,0.9085737264178078,780.4648309928969,787,0.9161816065192084,0.7607880101400677,0.8957458568155986,0.9329115896836003
development_2021_2023_exposed,market_shin,0.9,459,0.06432174887892377,0.9391657562418217,431.0770821149962,442,0.9629629629629629,2.379720672114116,0.9414916316236095,0.9767493597579469
development_2021_2023_exposed,market_shin,0.95,161,0.02256165919282511,0.9671606753562894,155.71286873236258,157,0.9751552795031055,0.7994604146816187,0.9378676444810962,0.9902969149361153
development_2021_2023_exposed,elo_global,0.55,5117,0.7170683856502242,0.6771008323082812,3464.7249589214753,3452,0.6746140316591753,-0.24868006491058914,0.6616500738729495,0.6873160119491134
development_2021_2023_exposed,elo_global,0.6,3821,0.5354540358744395,0.7122359859972964,2721.45370249567,2706,0.7081915728866789,-0.40444131106175396,0.6935742213061494,0.7223907323080455
development_2021_2023_exposed,elo_global,0.65,2711,0.3799047085201794,0.7487006912266386,2029.7275739154175,2036,0.7510143858354851,0.23136946088464505,0.7343890894802336,0.7669293192165334
development_2021_2023_exposed,elo_global,0.7,1833,0.2568665919282511,0.7844371874275663,1437.873364554729,1430,0.7801418439716312,-0.42953434559350745,0.7606073334343367,0.7985046111857309
development_2021_2023_exposed,elo_global,0.75,1158,0.16227578475336324,0.819808791182341,949.3385801891509,938,0.8100172711571675,-0.9791520025173472,0.7864120958107537,0.8315723929927297
development_2021_2023_exposed,elo_global,0.8,651,0.09122757847533633,0.8553583305350442,556.8382731783138,553,0.8494623655913979,-0.5895964943646304,0.8199468183891118,0.8748778508054912
development_2021_2023_exposed,elo_global,0.85,303,0.04246076233183856,0.8935754087670236,270.75334885640814,262,0.8646864686468647,-2.8888940120158857,0.821576598543559,0.8986650560535259
development_2021_2023_exposed,elo_global,0.9,109,0.015274663677130046,0.9290738270675769,101.26904715036588,96,0.8807339449541285,-4.833988211344842,0.8065849974518469,0.9289602610677865
development_2021_2023_exposed,elo_global,0.95,18,0.002522421524663677,0.9597573138858642,17.275631649945556,17,0.9444444444444444,-1.531286944141974,0.7424269921812741,0.990124809021697
development_2021_2023_exposed,ranking_baseline,0.55,5445,0.764747191011236,0.6712571668682981,3654.995273597883,3639,0.6683195592286502,-0.2937607639647899,0.6556992359149947,0.68070255038266
development_2021_2023_exposed,ranking_baseline,0.6,3979,0.5588483146067416,0.706950560331448,2812.9562795588317,2832,0.7117366172405127,0.4786056909064751,0.6974637691462301,0.7256010245246992
