period,estimator,n,log_loss,brier,auc,cal_intercept,cal_slope,top_pick_accuracy,mean_top_pick_p,expected_correct,actual_correct
development_2021_2023_exposed,market_multiplicative,7136,0.5821525772524538,0.20035846422080494,0.7551418021161025,0.04707530109797533,1.006307375914827,0.679372197309417,0.688104264733151,4910.312033135766,4848
development_2021_2023_exposed,market_additive,7136,0.5821223228539079,0.20035008032627488,0.755156570919519,0.04700156801819654,1.0050568741879746,0.679372197309417,0.688351093239299,4912.0734013556375,4848
development_2021_2023_exposed,market_power,7136,0.5821008529276234,0.20034650485170474,0.7551711040505408,0.0469231014896371,1.0041771039626415,0.679372197309417,0.6884860650237045,4913.036560009155,4848
development_2021_2023_exposed,market_odds_ratio,7136,0.5821094666597196,0.20034845192053247,0.7551618342696729,0.046958421766248606,1.004851568076397,0.679372197309417,0.6883721018820209,4912.223319030101,4848
development_2021_2023_exposed,market_shin,7136,0.582103991985554,0.20035376277869746,0.7551532715059898,0.04698337304310711,1.0022801187040484,0.679372197309417,0.6886375521764136,4914.117572330888,4848
development_2021_2023_exposed,elo_global,7136,0.6334716595759933,0.2217904687536843,0.6903943859693226,0.028229379240975364,0.9728360255147581,0.6339686098654709,0.6336110993224559,4521.448804765045,4524
development_2021_2023_exposed,ranking_baseline,7120,0.6312700133361975,0.2206589166371588,0.6942988150159841,0.0022241687208780342,1.0039458495609332,0.6365168539325843,0.6367828169770522,4533.893656876611,4532
development_2021_2023_exposed,stack_market_elo,7136,0.5816462656703649,0.20018012551321776,0.7552790812861585,-1.9447368201305457e-11,1.0000000010380523,0.680353139013453,0.6891411055938803,4917.71092951793,4855
SEALED_HOLDOUT_2024_2025,market_multiplicative,5066,0.5882750690242299,0.2025466846672393,0.7495020805502232,0.04452187839983644,0.9856027841263426,0.6823924200552705,0.6828503683604403,3459.3199661139906,3457
SEALED_HOLDOUT_2024_2025,market_additive,5066,0.5882837048504083,0.20253960540625324,0.7495409817253349,0.04458027226821341,0.98397119293117,0.6823924200552705,0.683103932874186,3460.6045239406267,3457
SEALED_HOLDOUT_2024_2025,market_power,5066,0.5882893997082392,0.20253647350777007,0.749550258759079,0.04457993038047483,0.9829065010329142,0.6823924200552705,0.683240002112614,3461.293850702503,3457
SEALED_HOLDOUT_2024_2025,market_odds_ratio,5066,0.5882754785562062,0.20253771727848421,0.7495410596836017,0.04455051344937437,0.9838025042188719,0.6823924200552705,0.6831212795189593,3460.692402043048,3457
SEALED_HOLDOUT_2024_2025,market_shin,5066,0.5882556202004273,0.20253836874422326,0.7495296777766551,0.04452459405785828,0.9815510815689568,0.6823924200552705,0.6833515947104524,3461.8591788031517,3457
SEALED_HOLDOUT_2024_2025,elo_global,5066,0.6220773672935822,0.21732380730966275,0.7057722483538332,0.0320002145513301,0.8579478819278801,0.6431109356494276,0.6685840466542174,3387.0467803502656,3258
SEALED_HOLDOUT_2024_2025,ranking_baseline,5060,0.6361426932821562,0.22216614779572694,0.6920199565554359,0.02381662990182992,0.9118361002503528,0.6405138339920948,0.6440026286090798,3258.6533007619437,3241
SEALED_HOLDOUT_2024_2025,stack_market_elo,5066,0.5877193738735786,0.20229552021290428,0.7499929837559919,-0.0015823917311805695,1.0050200236341726,0.6831819976312673,0.6808103869989106,3448.985420536481,3461
