match_id,season,predicted_probability,actual,log_loss
d83a888fb9082b28,2023_24,0.818038,0,1.703957404914052
b47e58267f9bea97,2024_25,0.768224,0,1.4619838909692215
a168fae147fb5fe1,2022_23,0.749499,0,1.3842923664492177
5c25752b3e19701a,2024_25,0.748503,0,1.380324217942911
59aa8beee0fb5f16,2023_24,0.747495,0,1.3763242284825812
3de4c00ed2cbc140,2024_25,0.743952,0,1.3623903520785023
8451f0678f7c9c64,2023_24,0.742394,0,1.3563239930977253
88483a1451a728d0,2022_23,0.74187,0,1.3542919449943964
7cdbf7fca9b0d3a4,2023_24,0.740443,0,1.3487789473172305
1c9412bf0d59b79d,2023_24,0.73251,0,1.3186730965224143
01f592b60a782751,2024_25,0.731959,0,1.3166153250976769
ce415f0eec7f96fb,2023_24,0.729897,0,1.3089519112478412
8d84de35df1f4d3d,2023_24,0.728216,0,1.3027476458116463
6f2bea507e85ae55,2022_23,0.727848,0,1.3013945452404505
ab9ee739e3aeee5a,2024_25,0.727083,0,1.2985875593274854
7e5b002e205750d6,2023_24,0.725367,0,1.2923196180689704
aeac017ebe60fc26,2024_25,0.725159,0,1.2915625303453107
fbd93925c61eb5a6,2023_24,0.72327,0,1.2847129773941448
ace988f296d2a710,2024_25,0.721519,0,1.2784054445632522
305894855ca39714,2023_24,0.71855,0,1.2678004670721015
