match_id,status,market_id
WTA-2021-06888,MATCHED,1.178788991
WTA-2021-06889,MATCHED,1.178785074
WTA-2021-06890,MATCHED,1.178817298
WTA-2021-06891,MATCHED,1.178779134
WTA-2021-06892,MATCHED,1.178784911
WTA-2021-06893,MATCHED,1.178785198
WTA-2021-06894,MATCHED,1.178859675
WTA-2021-06895,MATCHED,1.178859613
WTA-2021-06896,MATCHED,1.178859551
WTA-2021-06897,MATCHED,1.178832505
WTA-2021-06898,MATCHED,1.178836156
WTA-2021-06899,MATCHED,1.178850782
WTA-2021-06900,UNMATCHED,
WTA-2021-06901,MATCHED,1.178928619
WTA-2021-06902,MATCHED,1.178927760
WTA-2021-06903,MATCHED,1.178995216
WTA-2021-06904,UNMATCHED,
WTA-2021-06905,MATCHED,1.178767277
WTA-2021-06906,MATCHED,1.178767401
WTA-2021-06907,MATCHED,1.178815134
WTA-2021-06908,MATCHED,1.178767215
WTA-2021-06909,MATCHED,1.178767649
WTA-2021-06910,MATCHED,1.178767835
WTA-2021-06911,UNMATCHED,
WTA-2021-06912,MATCHED,1.178767773
WTA-2021-06913,MATCHED,1.178767151
WTA-2021-06914,MATCHED,1.178815196
WTA-2021-06915,MATCHED,1.178767463
WTA-2021-06916,MATCHED,1.178767525
WTA-2021-06917,MATCHED,1.178832567
WTA-2021-06918,MATCHED,1.178837222
WTA-2021-06919,MATCHED,1.178832755
WTA-2021-06920,MATCHED,1.178832691
WTA-2021-06921,MATCHED,1.178832629
WTA-2021-06922,UNMATCHED,
WTA-2021-06923,MATCHED,1.178832837
WTA-2021-06924,MATCHED,1.178837284
WTA-2021-06925,MATCHED,1.178944128
WTA-2021-06926,MATCHED,1.178927516
WTA-2021-06927,MATCHED,1.178927190
WTA-2021-06928,MATCHED,1.178995346
WTA-2021-06929,MATCHED,1.178995153
WTA-2021-06930,MATCHED,1.178937535
WTA-2021-06931,MATCHED,1.178936363
WTA-2021-06932,MATCHED,1.178937524
WTA-2021-06933,UNMATCHED,
