market,period,method,threshold,n,share_of_events,mean_predicted,expected_wins,actual_wins,actual_rate,difference_pp,wilson95_low,wilson95_high
football_1x2::primary_closing_B365_BW_PS,development,multiplicative,0.55,1030,0.2962323842392867,0.6628120809771152,682.6964434064287,697,0.6766990291262136,1.388694814909841,0.6475232542942564,0.7045616779691641
football_1x2::primary_closing_B365_BW_PS,development,multiplicative,0.6,691,0.19873454127121082,0.7064978997917478,488.1900487560978,503,0.7279305354558611,2.143263566411324,0.6935569349359156,0.7597838897964306
football_1x2::primary_closing_B365_BW_PS,development,multiplicative,0.65,473,0.1360368133448375,0.7450119076858966,352.39063233542913,361,0.7632135306553911,1.8201622969494458,0.722878218602767,0.7993079197750016
football_1x2::primary_closing_B365_BW_PS,development,multiplicative,0.7,331,0.09519700891573195,0.7755938635936602,256.7215688495015,264,0.797583081570997,2.1989217977336772,0.7509970798472312,0.8373410569349662
football_1x2::primary_closing_B365_BW_PS,development,multiplicative,0.75,198,0.056945642795513375,0.8093879526396707,160.2588146226548,167,0.8434343434343434,3.4046390794672754,0.7863415715449487,0.8874545890387677
football_1x2::primary_closing_B365_BW_PS,development,multiplicative,0.8,117,0.03364969801553063,0.8361656910601175,97.83138585403375,101,0.8632478632478633,2.708217218774578,0.7893619458421701,0.9140390295310579
football_1x2::primary_closing_B365_BW_PS,development,multiplicative,0.85,36,0.010353753235547885,0.8685110339999388,31.266397223997796,32,0.8888888888888888,2.0377854888950053,0.7468519140963513,0.9559335969968435
football_1x2::primary_closing_B365_BW_PS,development,multiplicative,0.9,1,0.0002876042565429968,0.9102094511163082,0.9102094511163082,1,1.0,8.979054888369175,0.20654931437723745,1.0
football_1x2::primary_closing_B365_BW_PS,development,multiplicative,0.95,0,0.0,,0.0,0,,,,
football_1x2::primary_closing_B365_BW_PS,development,additive,0.55,1096,0.31521426517112455,0.6711374999865077,735.5666999852125,733,0.6687956204379562,-0.23418795485515842,0.6403848954533848,0.6960272274327015
football_1x2::primary_closing_B365_BW_PS,development,additive,0.6,763,0.21944204774230658,0.7132196155140313,544.1865666372059,546,0.7155963302752294,0.2376714761198051,0.6825681941660504,0.7464644255699258
football_1x2::primary_closing_B365_BW_PS,development,additive,0.65,521,0.14984181765890134,0.7550579780054285,393.3852065408283,393,0.7543186180422264,-0.07393599632020686,0.7155805331024758,0.789333847319087
football_1x2::primary_closing_B365_BW_PS,development,additive,0.7,373,0.10727638769053782,0.7870562450867565,293.5719794173602,291,0.7801608579088471,-0.6895387177909384,0.7353943327392043,0.8192155571971491
football_1x2::primary_closing_B365_BW_PS,development,additive,0.75,249,0.07161345987920621,0.8177913960646961,203.6300576201093,201,0.8072289156626506,-1.0562480402045438,0.7537144352788302,0.8514078445625545
football_1x2::primary_closing_B365_BW_PS,development,additive,0.8,143,0.04112740868564855,0.8514394876041,121.75584672738631,123,0.8601398601398601,0.8700372535760059,0.7938337349400674,0.9076030447487787
football_1x2::primary_closing_B365_BW_PS,development,additive,0.85,69,0.01984469370146678,0.8778150440923138,60.569238042369655,60,0.8695652173913043,-0.8249826701009488,0.7703170006041271,0.9298337216039652
football_1x2::primary_closing_B365_BW_PS,development,additive,0.9,11,0.0031636468219729654,0.9152869520336274,10.068156472369902,11,1.0,8.471304796637257,0.7411670330319684,1.0
football_1x2::primary_closing_B365_BW_PS,development,additive,0.95,0,0.0,,0.0,0,,,,
