market,period,method,n,log_loss,brier,cal_intercept,cal_slope,ece,top_pick_accuracy,mean_top_pick_p
football_1x2::primary_closing_B365_BW_PS,development,multiplicative,3477,0.9927970916521736,0.5927008229132219,0.0403655991304204,1.0621549617517219,0.008793267270921558,0.5159620362381363,0.5034999760653608
football_1x2::primary_closing_B365_BW_PS,development,additive,3477,0.9924076320682228,0.5925413718770929,0.0003374325702845043,1.0005212166588986,0.006283413461062866,0.5159620362381363,0.5115960734021627
football_1x2::primary_closing_B365_BW_PS,development,power,3477,0.9924346938845956,0.5925383736449205,-0.002681058254472508,0.9958633766726998,0.00595217121009295,0.5159620362381363,0.5121233612991878
football_1x2::primary_closing_B365_BW_PS,development,odds_ratio,3477,0.9925024721988328,0.5925537603027007,0.013230163880602868,1.0203891766009268,0.006355069134779666,0.5159620362381363,0.5088298012181678
football_1x2::primary_closing_B365_BW_PS,development,shin,3477,0.9924625040648997,0.5925527851974077,0.010463611723362687,1.016147941509691,0.006430089952010769,0.5159620362381363,0.5095142140306445
football_1x2::primary_closing_B365_BW_PS,validation,multiplicative,1884,0.9720500003041334,0.5779895687527501,0.056822648251933845,1.0881884235146715,0.012258202742311403,0.5217622080679406,0.5209165899365475
football_1x2::primary_closing_B365_BW_PS,validation,additive,1884,0.9713226682392918,0.5777336047183783,0.015657539189160394,1.024383865624939,0.010473226691169669,0.5217622080679406,0.5300778737453407
football_1x2::primary_closing_B365_BW_PS,validation,power,1884,0.9711910292909253,0.5776772850788524,0.012473338436045088,1.0194052113229801,0.010631245231807604,0.5217622080679406,0.5307467318130022
football_1x2::primary_closing_B365_BW_PS,validation,odds_ratio,1884,0.9713988955384352,0.5777222209294378,0.02881135197058022,1.0447653798616867,0.012495846388608765,0.5217622080679406,0.5270156926865068
football_1x2::primary_closing_B365_BW_PS,validation,shin,1884,0.9714509141630623,0.5777622369942469,0.026031957018149518,1.0405008888578435,0.010732286114740378,0.5217622080679406,0.5277231561360101
football_1x2::primary_closing_B365_BW_PS,confirmation_2025_26,multiplicative,536,1.0262407748284537,0.6181844061641001,-0.03335943747170671,0.9492402598174208,0.02140542619141864,0.47761194029850745,0.4915406099273246
football_1x2::primary_closing_B365_BW_PS,confirmation_2025_26,additive,536,1.0265294714117772,0.6187254970531446,-0.06951612332137355,0.8939337676221218,0.02671021579831455,0.47761194029850745,0.4999789824178232
football_1x2::primary_closing_B365_BW_PS,confirmation_2025_26,power,536,1.026848714137858,0.6188738152027319,-0.07274818383481595,0.8890597259657556,0.025865001168431902,0.47761194029850745,0.5004298247904246
football_1x2::primary_closing_B365_BW_PS,confirmation_2025_26,odds_ratio,536,1.026658430592348,0.6186095159496949,-0.058506849591435574,0.9108737664782321,0.02613967869395237,0.47761194029850745,0.4969871962992623
football_1x2::primary_closing_B365_BW_PS,confirmation_2025_26,shin,536,1.0264225566593743,0.6185643433906411,-0.06050243089340428,0.9077558071086576,0.026468796445605826,0.47761194029850745,0.49780471715532837
football_1x2::all_books_closing,development,multiplicative,3480,0.9926058442246661,0.5926037818281941,0.044294777475552036,1.0682185384172964,0.008001304412179043,0.5155172413793103,0.5024078293738894
football_1x2::all_books_closing,development,additive,3480,0.9921591729539644,0.5924125366187128,0.0007010484365270314,1.0010835218112863,0.0065338533582962295,0.5155172413793103,0.5111476903981831
football_1x2::all_books_closing,development,power,3480,0.9921861491336261,0.5924079393681324,-0.0025572070265448767,0.9960529892200936,0.005633775355523176,0.5155172413793103,0.5117338673341068
football_1x2::all_books_closing,development,odds_ratio,3480,0.9922619298063516,0.592427957918373,0.014724799248256709,1.0226980731875106,0.007678198884048007,0.5155172413793103,0.5081762342623906
football_1x2::all_books_closing,development,shin,3480,0.9922218229880588,0.5924272301187643,0.01175603873821531,1.0181507214489822,0.006594905514944615,0.5155172413793103,0.5088947261654146
football_1x2::all_books_closing,validation,multiplicative,2320,0.9765715004367304,0.5803643389841736,0.045058035769583095,1.069900864473818,0.006571115470026254,0.5293103448275862,0.5193992390103106
football_1x2::all_books_closing,validation,additive,2320,0.97638898441247,0.5801662390381982,-0.00046837718651963656,0.9992706250571071,0.006539099373910138,0.5293103448275862,0.5293534451987227
football_1x2::all_books_closing,validation,power,2320,0.9762642561775653,0.5801236209190339,-0.004333821168212617,0.993259691830761,0.006797613510403437,0.5293103448275862,0.5301406427554972
football_1x2::all_books_closing,validation,odds_ratio,2320,0.9762135066332521,0.580133050009149,0.013730805036499621,1.0213255145235383,0.005519688710754792,0.5293103448275862,0.5260827143192126
football_1x2::all_books_closing,validation,shin,2320,0.9763395933145844,0.5801719387155913,0.011114833233079493,1.0172892853483941,0.005651839649164689,0.5293103448275862,0.5267841757309258
football_1x2::all_books_opening,development,multiplicative,3479,0.9947620832560585,0.593996360059447,0.04524287515417445,1.0695887857759359,0.009714673475767783,0.5156654210980167,0.5000968479530254
football_1x2::all_books_opening,development,additive,3479,0.9942888617440802,0.5937490011820312,0.0019646487523250758,1.0030324996743942,0.007282668418129201,0.5156654210980167,0.5087005516570183
football_1x2::all_books_opening,development,power,3479,0.9942950635430247,0.5937386095120629,-0.0010913095715359652,0.9983177551276768,0.007104166566684341,0.5156654210980167,0.5092610381294019
football_1x2::all_books_opening,development,odds_ratio,3479,0.9943900111071877,0.5937843579020304,0.016037101725359968,1.0246891939823035,0.00783046175870844,0.5156654210980167,0.5057587093001354
football_1x2::all_books_opening,development,shin,3479,0.9943560055765197,0.593779373412368,0.012941565657531962,1.0199549859243313,0.007828926413543286,0.5156654210980167,0.50648289605095
football_1x2::all_books_opening,validation,multiplicative,2320,0.9794240964649903,0.5828378729850084,0.047478740684290144,1.0735279143016287,0.007040689568797119,0.521551724137931,0.516411612687888
football_1x2::all_books_opening,validation,additive,2320,0.9790670019557646,0.5826217278759879,0.0015370815614871773,1.0023893676372988,0.0073586373421838415,0.521551724137931,0.526425907260412
football_1x2::all_books_opening,validation,power,2320,0.9790466007878443,0.5825960024202279,-0.002540863886316992,0.9960549090101217,0.008036115247801557,0.521551724137931,0.5271904281655874
football_1x2::all_books_opening,validation,odds_ratio,2320,0.9790557742866719,0.5826122631934209,0.015703716654604297,1.0243485071491718,0.008262668994694288,0.521551724137931,0.5231073267707278
football_1x2::all_books_opening,validation,shin,2320,0.9790728876488974,0.5826323837056824,0.01318605373578928,1.0204752030686368,0.007434046897123197,0.521551724137931,0.523841699221406
tennis_atp_winner::betfair_ltp_30min,development_2021_2023,multiplicative,7136,0.5821525772524554,0.4007169284416137,2.199854084755383e-18,1.0050187565490745,0.014125910497633315,0.679372197309417,0.688104264733151
tennis_atp_winner::betfair_ltp_30min,development_2021_2023,additive,7136,0.5821223228539053,0.40070016065254876,1.0743946411643814e-17,1.0037713592223825,0.013918458243784109,0.679372197309417,0.688351093239299
tennis_atp_winner::betfair_ltp_30min,development_2021_2023,power,7136,0.5821008529276254,0.4006930097034071,-9.555868773156087e-18,1.0028899477106699,0.013711222846722161,0.679372197309417,0.6884860650237045
tennis_atp_winner::betfair_ltp_30min,development_2021_2023,odds_ratio,7136,0.5821094666597191,0.4006969038410678,-4.989378087287518e-18,1.00356489507186,0.013929158964354881,0.679372197309417,0.6883721018820209
tennis_atp_winner::betfair_ltp_30min,development_2021_2023,shin,7136,0.5821039919855566,0.40070752555739625,3.3569410338924545e-18,1.000999229665949,0.013941579702306195,0.679372197309417,0.6886375521764136
