period,estimator,band,n,share_of_events,mean_predicted,expected_wins,actual_wins,actual_rate,difference_pp,wilson95_low,wilson95_high
development_2021_2023,market_multiplicative,50-54.9%,841,0.13986362880425746,0.5261474559626744,442.4900104646092,431,0.5124851367419738,-1.3662319220700603,0.47872326379320773,0.5461334709003212
development_2021_2023,market_multiplicative,55-59.9%,1007,0.16747048062531183,0.5748634274498218,578.8874714419705,570,0.5660377358490566,-0.8825691600765184,0.535232647365246,0.596340903402216
development_2021_2023,market_multiplicative,60-64.9%,937,0.155829037086313,0.6246044454747544,585.2543654098448,592,0.6318036286019211,0.719918312716672,0.6004416242588905,0.6620893236328026
development_2021_2023,market_multiplicative,65-69.9%,840,0.13969732246798602,0.6743553162013249,566.458465609113,568,0.6761904761904762,0.18351599891512915,0.6438065799177457,0.7069702122224191
development_2021_2023,market_multiplicative,70-74.9%,659,0.10959587560286047,0.7244066014319835,477.38395034367716,472,0.716236722306525,-0.8169879125458523,0.680640475775725,0.7493265943394465
development_2021_2023,market_multiplicative,75-79.9%,616,0.10244470314318975,0.7733738914612593,476.39831714013576,462,0.75,-2.3373891461259344,0.7143268948814304,0.7825743620722406
development_2021_2023,market_multiplicative,80-84.9%,509,0.08464992516214868,0.8235545024129614,419.1892417281973,428,0.8408644400785854,1.7309937665624053,0.8065489580572223,0.8700734055050854
development_2021_2023,market_multiplicative,85-89.9%,335,0.055712622650923,0.874112477727834,292.8276800388244,302,0.9014925373134328,2.738005958559886,0.8648863191220415,0.9289952824276309
development_2021_2023,market_multiplicative,90-94.9%,214,0.03558955596208215,0.9201304660709949,196.90791973919292,202,0.9439252336448598,2.3794767573864894,0.9045586355824545,0.9676353032048793
development_2021_2023,market_multiplicative,95%+,55,0.009146848494927657,0.9658880557742955,53.12384306758625,53,0.9636363636363636,-0.225169213793186,0.8767653602534898,0.9899704587106665
development_2021_2023,market_additive,50-54.9%,841,0.13986362880425746,0.5262260741072716,442.5561283242154,431,0.5124851367419738,-1.37409373652978,0.47872326379320773,0.5461334709003212
development_2021_2023,market_additive,55-59.9%,1010,0.16796939963412605,0.5751168440294503,580.8680124697448,573,0.5673267326732673,-0.7790111356183016,0.5365733810409651,0.5975698805279549
development_2021_2023,market_additive,60-64.9%,946,0.15732579411275568,0.6252657812926795,591.5014291028748,598,0.6321353065539113,0.6869525261231746,0.6009292316494267,0.6622725876419692
development_2021_2023,market_additive,65-69.9%,811,0.1348744387161151,0.6745400289950341,547.0519635149726,545,0.6720098643649816,-0.25301646300525116,0.6389535952614658,0.703444299420761
development_2021_2023,market_additive,70-74.9%,671,0.11159155163811742,0.7241238501255425,485.887103434239,483,0.7198211624441133,-0.43026876814291626,0.6846641219396765,0.752475588645861
development_2021_2023,market_additive,75-79.9%,621,0.10327623482454681,0.7735997142907872,480.4054225745789,466,0.750402576489533,-2.319713780125421,0.714894591750333,0.782831664421867
