period,estimator,threshold,n,share_of_events,mean_predicted,expected_wins,actual_wins,actual_rate,difference_pp,wilson95_low,wilson95_high
development_2021_2023,market_multiplicative,0.55,5172,0.8601363711957426,0.7050331118558666,3646.431254518542,3649,0.7055297757153906,0.04966638595239603,0.6929587449537112,0.7177957221053329
development_2021_2023,market_multiplicative,0.6,4165,0.6926658905704307,0.7365051099823701,3067.5437830765713,3079,0.7392557022809124,0.27505922985423537,0.7257060207197106,0.7523644503420006
development_2021_2023,market_multiplicative,0.65,3228,0.5368368534841177,0.7689868084469414,2482.289417666727,2487,0.7704460966542751,0.14592882073336533,0.7556221240573588,0.7846271493822854
development_2021_2023,market_multiplicative,0.7,2388,0.3971395310161317,0.8022742680308265,1915.8309520576136,1919,0.8036013400335008,0.13270720026743454,0.7871852289577539,0.8190422426217912
development_2021_2023,market_multiplicative,0.75,1729,0.28754365541327126,0.8319531531023346,1438.4470017139365,1447,0.8368999421631,0.49467890607653997,0.8187417349307455,0.8535644325318303
development_2021_2023,market_multiplicative,0.8,1113,0.1850989522700815,0.86437437967098,962.0486845738008,985,0.8849955076370171,2.06211279660371,0.8649142057886257,0.9024283684250247
development_2021_2023,market_multiplicative,0.85,604,0.10044902710793281,0.8987739119960324,542.8594428456036,557,0.9221854304635762,2.3411518467543746,0.8980550630041176,0.9409795118823642
development_2021_2023,market_multiplicative,0.9,269,0.04473640445700981,0.9294861070883984,250.03176280677917,255,0.9479553903345725,1.846928324617414,0.9145485826616695,0.9687482632124038
development_2021_2023,market_multiplicative,0.95,55,0.009146848494927657,0.9658880557742955,53.12384306758625,53,0.9636363636363636,-0.225169213793186,0.8767653602534898,0.9899704587106665
development_2021_2023,market_additive,0.55,5172,0.8601363711957426,0.7053711290358794,3648.1794793735685,3649,0.7055297757153906,0.015864667951115408,0.6929587449537112,0.7177957221053329
development_2021_2023,market_additive,0.6,4162,0.6921669715616166,0.7369801698471465,3067.311466903824,3076,0.739067755886593,0.20875860394464762,0.7255101836274849,0.7521844237336288
development_2021_2023,market_additive,0.65,3216,0.5348411774488608,0.7698414296644743,2475.8100378009494,2478,0.7705223880597015,0.06809583952271936,0.7556718061038263,0.7847274720138286
