period,estimator,n,log_loss,brier,auc,cal_intercept,cal_slope,top_pick_accuracy,mean_top_pick_p,expected_correct,actual_correct
development_2021_2023,market_multiplicative,6013,0.5891423769566744,0.20290629060817839,0.7482319365090622,0.03944064934557057,1.0233415955816079,0.6785298519873607,0.6800135148816151,4088.9212649831516,4080
development_2021_2023,market_additive,6013,0.5891550208253137,0.2029084633163827,0.7482260634643428,0.03936090916915906,1.0211660925283372,0.6785298519873607,0.6803152515712263,4090.735607697784,4080
development_2021_2023,market_power,6013,0.5891705052747527,0.20291189169911383,0.7482388068632623,0.039314370831196155,1.0198233288628122,0.6785298519873607,0.6804761892448783,4091.703325929453,4080
development_2021_2023,market_odds_ratio,6013,0.5891553937153229,0.20290879496821185,0.7482389176754267,0.03934777112431949,1.0209720869109487,0.6785298519873607,0.6803333856474548,4090.844647898146,4080
development_2021_2023,market_shin,6013,0.5891309820052293,0.20290562576568047,0.7482349284375042,0.03933562310420474,1.0185448923154143,0.6785298519873607,0.6805969410872801,4092.429406757815,4080
development_2021_2023,elo_global,6013,0.628208186915116,0.21956400046628488,0.6987681011670737,0.03982123462011114,0.8889545191960161,0.64194245800765,0.6581877753990849,3957.6830934746977,3860
development_2021_2023,stack_market_elo,6013,0.5883365108457858,0.20258253756167025,0.7489811929594383,-9.376615501258383e-11,1.0000000014841852,0.6795276900049891,0.6835733439546555,4110.3265171993435,4086
SEALED_HOLDOUT_2024_2025,market_multiplicative,4339,0.5966511089685959,0.20625473509559855,0.738308629355141,0.04069378272179868,0.9793817015162106,0.6676653606821848,0.6775408965713154,2939.849950222938,2897
SEALED_HOLDOUT_2024_2025,market_additive,4339,0.5966652537314282,0.20626712924734106,0.7382622029133658,0.04071917628027074,0.9778808533877349,0.6676653606821848,0.6777800611523143,2940.8876853398915,2897
SEALED_HOLDOUT_2024_2025,market_power,4339,0.5966760417421564,0.20627444742355472,0.7382368600391856,0.04074372502892923,0.9770061921989267,0.6676653606821848,0.6779015286905713,2941.414732988389,2897
SEALED_HOLDOUT_2024_2025,market_odds_ratio,4339,0.5966659358045391,0.20626787567350569,0.7382568787801346,0.0407220145904216,0.9777539197370179,0.6676653606821848,0.6777903965355584,2940.932530567788,2897
SEALED_HOLDOUT_2024_2025,market_shin,4339,0.5966830645600633,0.2062735178707053,0.7382849902035948,0.04075144026460205,0.9752658777860219,0.6676653606821848,0.6780326458678173,2941.9836504204595,2897
SEALED_HOLDOUT_2024_2025,elo_global,4339,0.6309130808964704,0.22065720361851068,0.6974039526365108,0.03045318908785158,0.8052589815135694,0.6395482830145195,0.6713256886183362,2912.8821629149606,2775
SEALED_HOLDOUT_2024_2025,stack_market_elo,4339,0.5960828715557649,0.20601258503541875,0.7388382741289719,0.004796589822047374,0.9687400959812975,0.6692786356303295,0.6790892039521658,2946.568055948447,2904
