model,band,n,mean_predicted_probability,actual_win_rate,calibration_error,mean_market_probability,mean_difference_from_market
fundamentals,50-54.9%,751,0.5238368080465229,0.4873501997336884,0.036486608312834456,0.49363838715879177,0.030198420887731114
fundamentals,55-59.9%,548,0.5737282873013195,0.5675182481751825,0.006210039126137046,0.5508834723213054,0.022844814980014116
fundamentals,60-64.9%,425,0.623463212107551,0.6070588235294118,0.016404388578139195,0.6059387063774575,0.017524505730093454
fundamentals,65-69.9%,298,0.6725083594356206,0.6845637583892618,0.012055398953641161,0.6522249722890766,0.020283387146543985
fundamentals,70-79.9%,338,0.7428784336947132,0.7041420118343196,0.03873642186039361,0.7292543799648101,0.013624053729903052
fundamentals,80%+,134,0.8434591565117344,0.8731343283582089,0.029675171846474502,0.8207494930864838,0.022709663425250604
market_fundamentals,50-54.9%,708,0.5231551729003789,0.4901129943502825,0.033042178550096446,0.5008250818143635,0.02233009108601547
market_fundamentals,55-59.9%,640,0.5733871744435205,0.58125,0.007862825556479547,0.5500900437908908,0.023297130652629727
market_fundamentals,60-64.9%,453,0.6226265108600911,0.5916114790286976,0.031015031831393536,0.5955058460417351,0.027120664818356066
market_fundamentals,65-69.9%,336,0.6732125845777664,0.6279761904761905,0.04523639410157598,0.6487070194805554,0.024505565097211024
market_fundamentals,70-79.9%,436,0.7443373388620845,0.7729357798165137,0.028598440954429205,0.7242378786017182,0.020099460260366353
market_fundamentals,80%+,223,0.8463504054233711,0.8430493273542601,0.003301078069111063,0.8191901588049748,0.027160246618396333
ensemble,50-54.9%,689,0.5241066204995682,0.5587808417997098,0.03467422130014153,0.5245727169843193,-0.00046609648475104404
ensemble,55-59.9%,564,0.5741445249988779,0.5620567375886525,0.012087787410225426,0.5758302741005914,-0.0016857491017134851
ensemble,60-64.9%,382,0.6244667225875995,0.6099476439790575,0.014519078608541958,0.6244528735415069,1.3849046092584416e-05
ensemble,65-69.9%,269,0.6749941982092603,0.7360594795539034,0.06106528134464306,0.6786671824742397,-0.0036729842649794175
ensemble,70-79.9%,377,0.7471281115507248,0.7612732095490716,0.014145097998346845,0.7514793693266353,-0.0043512577759105
ensemble,80%+,156,0.838825904425588,0.8910256410256411,0.05219973660005306,0.8386398444774531,0.0001860599481349201
elo_poisson,50-54.9%,825,0.5230309796643239,0.5163636363636364,0.006667343300687523,0.5144204461440677,0.008610533520256203
elo_poisson,55-59.9%,561,0.5730572724766367,0.5597147950089126,0.013342477467724101,0.5604656159434152,0.012591656533221585
elo_poisson,60-64.9%,370,0.6242388751604668,0.6405405405405405,0.016301665380073715,0.6215023879455137,0.0027364872149531205
elo_poisson,65-69.9%,238,0.6723981747887265,0.7016806722689075,0.02928249748018097,0.6708517690647559,0.0015464057239706896
elo_poisson,70-79.9%,242,0.7433306021224323,0.7933884297520661,0.050057827629633844,0.7443071588221382,-0.0009765566997058661
elo_poisson,80%+,124,0.8342770532761329,0.8306451612903226,0.003631891985810265,0.817268572258259,0.01700848101787389
