Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BFDH,BFDD,BFDA,BMGMH,BMGMD,BMGMA,BVH,BVD,BVA,BWH,BWD,BWA,CLH,CLD,CLA,LBH,LBD,LBA,PSH,PSD,PSA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,BFEH,BFED,BFEA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,BFE>2.5,BFE<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,BFEAHH,BFEAHA,B365CH,B365CD,B365CA,BFDCH,BFDCD,BFDCA,BMGMCH,BMGMCD,BMGMCA,BVCH,BVCD,BVCA,BWCH,BWCD,BWCA,CLCH,CLCD,CLCA,LBCH,LBCD,LBCA,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,BFECH,BFECD,BFECA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,BFEC>2.5,BFEC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA,BFECAHH,BFECAHA
E1,08/08/2025,20:00,Birmingham,Ipswich,1,1,D,0,0,D,A Kitchen,11,7,3,1,16,22,1,4,2,3,0,0,2.4,3.3,2.9,2.5,3.3,3,2.5,3.4,2.85,2.45,3.3,2.9,2.45,3.3,2.87,2.45,3.3,2.87,2.45,3.3,2.87,2.55,3.29,2.84,2.5,3.4,3,2.45,3.3,2.87,2.52,3.4,3.2,2.1,1.73,2.07,1.78,2.1,1.74,2.05,1.72,2.16,1.82,0,1.73,2.08,1.83,2.05,1.8,2.1,1.73,2.01,1.77,2.25,2.55,3.25,2.75,2.5,3.25,2.88,2.55,3.3,2.88,2.5,3.25,2.88,2.55,3.2,2.8,2.6,3.2,2.8,2.5,3.2,2.8,2.54,3.32,2.97,2.6,3.4,2.88,2.54,3.24,2.79,2.68,3.45,2.94,2.1,1.73,2.22,1.71,2.18,1.73,2.12,1.68,2.2,1.81,0,1.88,1.98,1.81,2.12,1.88,1.98,1.81,1.94,1.9,2.1
E1,09/08/2025,12:30,Charlton,Watford,1,0,H,0,0,D,S Martin,12,10,5,1,6,16,3,2,1,2,0,0,2.45,3.3,2.88,2.5,3.25,3,2.5,3.3,2.95,2.5,3.25,2.88,2.5,3.25,2.85,2.5,3.25,2.87,2.5,3.25,2.8,2.54,3.15,2.95,2.5,3.4,3,2.47,3.24,2.88,2.62,3.4,3,2.2,1.67,2.17,1.7,2.2,1.73,2.12,1.67,2.24,1.75,0,1.8,2.05,1.79,2.08,1.8,2.05,1.76,1.98,1.84,2.14,2.25,3.4,3.2,2.38,3.25,3.3,2.3,3.35,3.25,2.25,3.25,3.2,2.3,3.25,3.1,2.3,3.25,3.1,2.3,3.25,3.1,2.26,3.35,3.4,2.38,3.4,3.33,2.27,3.26,3.2,2.38,3.4,3.45,2.2,1.67,2.21,1.72,2.2,1.7,2.15,1.66,2.3,1.75,-0.25,1.95,1.9,1.95,1.95,1.95,1.9,1.86,1.83,2.03,1.95
E1,09/08/2025,12:30,Coventry,Hull,0,0,D,0,0,D,R Madley,18,7,3,3,7,11,8,2,3,3,0,0,1.73,3.8,4.5,1.73,3.75,5,1.74,3.95,4.7,1.73,3.75,4.6,1.77,3.6,4.6,1.75,3.6,4.6,1.75,3.6,4.6,1.75,3.8,4.54,1.77,4,5,1.73,3.75,4.58,1.82,3.85,4.9,1.9,1.95,1.87,1.96,1.91,1.95,1.86,1.88,1.95,1.97,-0.75,1.98,1.88,1.99,1.87,1.98,1.88,1.9,1.79,2.08,1.9,1.67,3.9,4.75,1.73,3.75,5,1.78,3.75,4.75,1.67,3.75,5,1.68,3.7,5,1.85,3.6,4.8,1.73,3.7,4.6,1.73,3.93,4.89,1.85,3.9,5.33,1.71,3.73,4.85,1.75,4.1,5.3,1.93,1.93,1.9,1.99,1.93,1.93,1.88,1.87,1.96,2.02,-0.75,1.88,1.98,1.95,1.95,1.91,1.98,1.87,1.82,1.97,2.01
